Date,Close,High,Low,Open,Volume
2016-07-01,118.3441390991211,118.93726861296994,117.86050699118115,118.20725341785325,3247900
2016-07-05,115.86211395263672,117.71451962034854,115.55185500939653,117.1943790129804,4829400
2016-07-06,115.85297393798828,116.17235298960365,113.11542727510026,116.11760428416707,3981700
2016-07-07,116.04461669921875,116.95713237406412,115.21423105531936,115.81648778050742,3049400
2016-07-08,118.70915222167969,119.04679246521783,116.49174597548652,117.34951287568548,3597800
2016-07-11,120.48856353759766,121.59271363028036,119.35705301247418,119.39354751294609,3929900
2016-07-12,119.36617279052734,121.36458433942659,118.9281691667869,121.18208398985841,4318400
2016-07-13,118.72740936279297,119.89542825711742,118.05214278293397,119.79505098070437,3061400
2016-07-14,120.04141998291016,120.37904627119276,118.80951845579388,120.11442289570567,3984100
2016-07-15,120.80792999267578,121.13643613916099,119.95016316997096,120.26954917378895,2944900
2016-07-18,121.7569580078125,122.1767213385333,120.40643872773144,120.79882770252307,3338400
2016-07-19,122.87937927246094,123.80101520513185,121.20947371066018,121.28247664451817,3390000
2016-07-20,122.93411254882812,123.35386196092495,122.31359465092807,122.77898655532415,2669400
2016-07-21,121.84819793701172,123.17134267431902,121.39194017077595,122.97058814326472,2814100
2016-07-22,121.79344177246094,121.81169598067918,119.14715245994405,120.22391403884033,4844900
2016-07-25,121.3098373413086,121.63834354472745,120.79883078574245,121.5288321943316,3078600
2016-07-26,123.05274963378906,123.16224706385381,120.91745228033287,121.2733328519281,4667300
2016-07-27,124.06562042236328,127.25029078360386,123.83749153464657,124.2298665380558,5661700
2016-07-28,121.37371063232422,123.9743859980441,120.95396119944138,123.5546226412764,5142400
2016-07-29,121.96685028076172,122.09460192021113,120.72582838730267,121.41021515375691,3559100
2016-08-01,121.55621337890625,122.48696929768913,121.09082149563127,121.55621337890625,3067300
2016-08-02,120.0870590209961,121.72957596861146,119.8589301200625,121.31894673170763,3156800
2016-08-03,120.33341979980469,120.86268048385139,120.10529091481294,120.24217660013727,2359300
2016-08-04,119.73117065429688,120.95393814152054,119.50304176829773,120.45205180754598,3008500
2016-08-05,120.2056884765625,120.85358074583664,119.54867606294644,120.64370603489621,3119500
2016-08-08,120.62543487548828,121.31894169292481,120.22392579869988,120.57980631242005,2443800
2016-08-09,121.01782989501953,121.35547017844556,120.66194932245632,121.11820718081351,3013900
2016-08-10,121.70785522460938,122.857952143529,121.18341833000191,121.54224800713408,2642200
2016-08-11,122.3703384399414,122.88557972393131,121.72628683495401,122.23233239575555,2275700
2016-08-12,122.46235656738281,123.08800271092971,122.029918893172,122.27832978231835,2522600
2016-08-15,123.89768981933594,124.21051292691125,122.8764028181437,123.01440888346393,2812600
2016-08-16,124.21047973632812,124.40370221541917,122.73834991633754,123.42840813709492,2759200
2016-08-17,123.95286560058594,124.20129050403517,123.39161765680575,124.0724801910006,2854600
2016-08-18,124.21047973632812,125.09376043617655,123.77804212817853,123.95285912372033,2030800
2016-08-19,123.69525146484375,124.2104927440169,123.14319921471713,123.75045388200203,1922600
2016-08-22,124.2012939453125,124.82694004330932,123.14319616531687,123.56643808516942,2520500
2016-08-23,123.4192123413086,125.47098151880714,122.95917352774485,124.50491124173963,3481900
2016-08-24,122.63714599609375,123.88845218416161,122.43474182558388,123.29960303914562,2135900
2016-08-25,122.35193634033203,122.64636796177285,121.83669504208304,122.64636796177285,1921400
2016-08-26,121.66187286376953,123.3640222597877,121.2846516687908,122.8303754980051,1973700
2016-08-29,122.27830505371094,122.90396511000182,121.74467241061397,122.11269782777114,2380000
2016-08-30,120.35535430908203,122.77516300423721,120.23573972285133,122.54514359334478,3437300
2016-08-31,119.10404968261719,120.37376133962458,118.81882785572907,120.37376133962458,3639200
2016-09-01,119.51807403564453,119.63768861562181,118.10116071590188,119.63768861562181,2807200
2016-09-02,120.67739868164062,121.41346367499192,120.14375191244274,120.42897376303925,2631000
2016-09-06,122.36114501953125,122.36114501953125,120.77861016648139,121.10983871803303,4151800
2016-09-07,122.03911590576172,122.4439523743435,121.4502666894444,121.8919000918642,2198700
2016-09-08,122.27830505371094,122.28751481466522,120.99939777607563,121.74467241061397,2618300
2016-09-09,118.25758361816406,121.39505189047452,118.24838789546043,121.39505189047452,4892900
2016-09-12,119.72050476074219,120.2357460218508,116.21501100137615,116.73945500490049,6381100
2016-09-13,118.46919250488281,119.62849932260667,118.00915368242623,118.89243439882199,4552400
2016-09-14,117.46631622314453,118.97524306322548,117.16268890273375,118.60721760536039,3955400
2016-09-15,117.55833435058594,118.19319728194434,116.79467513143148,117.37432160324094,3462400
2016-09-16,116.57383728027344,117.50311768688432,116.24260875949403,117.50311768688432,8035600
2016-09-19,117.29150390625,118.04596731130111,117.09828141918335,117.30990237092347,3168100
2016-09-20,117.57673645019531,118.22999080997971,117.37431822216485,117.72394523990356,2639300
2016-09-21,120.12535095214844,120.1897631346565,117.9355613752348,117.9355613752348,3227800
2016-09-22,121.33063507080078,121.89188299821414,120.68658352440941,120.94420414296596,3253100
2016-09-23,121.24781799316406,121.71705248789128,120.53935435113851,120.7601780165056,2330700
2016-09-26,120.1345443725586,121.06381773620507,120.00572002506694,120.5945831932437,2219900
2016-09-27,120.82463073730469,121.21106175194721,119.48131089083637,119.87693762989636,1939000
2016-09-28,121.66187286376953,121.78148745981773,120.15294596603907,121.07302368512525,1773000
2016-09-29,120.5577621459961,122.16789788377363,120.23572938273279,121.26622580161366,2199400
2016-09-30,121.21104431152344,122.02991292362094,120.77860665846693,121.53306309108831,3118900
2016-10-03,121.79989624023438,122.11271930376121,120.29096930168309,120.78780510615086,2439400
2016-10-04,121.68028259277344,122.5819548579278,121.16504129839953,122.15872695438021,2829200
2016-10-05,123.89768981933594,124.1184995238483,121.95632494461103,122.30594498984699,3137500
2016-10-06,123.67681121826172,124.21045783292273,122.99594883970775,124.05404634851195,3614900
2016-10-07,123.15242004394531,123.89768082109732,121.94710632416475,123.22601391392178,4302000
2016-10-10,124.98335266113281,125.93103157856436,123.83325552451474,123.83325552451474,3343300
2016-10-11,123.05119323730469,124.84534189466038,122.61875560716368,124.15528363881042,3607300
2016-10-12,122.51753234863281,123.54801473243118,122.3703165682989,123.06957046598072,2264200
2016-10-13,122.7199478149414,123.22597923480288,120.88898844073006,121.8366671917979,3544200
2016-10-14,122.83039093017578,124.44052714087097,122.81198544248552,123.80567118865595,2317400
2016-10-17,123.2904052734375,124.56011692479031,122.67395493178282,122.83036644779035,2435100
2016-10-18,124.3025131225586,124.89136233748202,124.13689182249776,124.23810093940364,2271000
2016-10-19,125.29618072509766,126.00464452059117,124.5141230644757,124.59692669219939,2265900
2016-10-20,124.98335266113281,125.82062674601596,124.55091501462267,125.05696056258897,2539700
2016-10-21,124.7901382446289,125.30537949094419,123.52042657387265,123.95286419973105,2205000
2016-10-24,126.46468353271484,127.78040201150684,125.50780885299797,125.50780885299797,3814200
2016-10-25,127.90921020507812,128.27723568208714,126.37268207769382,126.53828933056627,5209100
2016-10-26,133.90811157226562,134.50617054232634,125.79303299560206,127.36635810977904,13272000
2016-10-27,131.85629272460938,134.54291710447762,130.44857539610422,134.17489175243378,7857100
2016-10-28,131.580322265625,132.49120434966733,130.8074602763442,132.2335836865737,4636100
2016-10-31,131.046630859375,131.89311450923674,130.78901028394523,131.61708845291386,3075900
2016-11-01,131.02825927734375,132.39916596739351,130.47620708102497,131.52509502261424,3245000
2016-11-02,129.50091552734375,131.45147544627292,129.3536997495044,130.65101246808393,2782100
2016-11-03,128.82928466796875,129.63894350469877,128.2128342880208,129.51013318708684,2280800
2016-11-04,128.38763427734375,129.5929478404016,127.70678577404097,127.99200761075119,2951500
2016-11-07,131.5987091064453,131.6631212827287,130.18179566019418,130.19099138283272,3228200
2016-11-08,131.83975219726562,132.86888165259768,130.99604854124675,131.58015324881086,2823800
2016-11-09,134.51919555664062,135.22383340120282,131.2278345614004,131.28347503366717,5494400
2016-11-10,136.92977905273438,138.45955964687852,135.72449008460873,135.83574273957709,6508300
2016-11-11,137.69932556152344,137.77349872246484,135.88211848616913,136.40131646567494,3585200
2016-11-14,139.06224060058594,139.15494645029574,137.41192651664778,137.41192651664778,4490900
2016-11-15,137.3192138671875,138.56158266703738,136.46624360995833,137.62517289647937,3856600
2016-11-16,135.77085876464844,137.5973320850739,135.4927129623396,136.5682025194894,3559700
2016-11-17,134.74168395996094,136.4012635829691,134.43572509485426,136.1323983574939,3656100
2016-11-18,135.6874237060547,135.91920952437928,133.93512348540403,134.60265362686195,2214400
2016-11-21,136.30859375,137.67149535101947,135.84502216181875,136.48475321704203,2825900
2016-11-22,138.62649536132812,138.84900073961668,137.105980638981,137.1245133224473,3770000
2016-11-23,138.8304443359375,139.82248032117934,138.17216636110345,138.70991117856744,2857500
2016-11-25,139.10858154296875,139.21056787701028,138.17217185555828,139.07150203381036,962300
2016-11-28,138.85824584960938,139.15492432743412,137.51389099231824,138.14434159962272,4728800
2016-11-29,140.59202575683594,141.027784290157,138.24635406747063,138.91389845268222,3945600
2016-11-30,139.59068298339844,141.92708789318868,139.59068298339844,140.5456393822132,3991000
2016-12-01,141.287353515625,141.56549930865106,139.43306709156164,139.7575728746058,2843900
2016-12-02,141.15757751464844,141.3800970155039,140.1099009836958,141.34300335848548,2105600
2016-12-05,141.0741424560547,142.54829705961458,140.78673026698036,142.07545902085542,2855900
2016-12-06,141.14830017089844,141.51915182966323,139.09004092646063,139.85029107105368,3476300
2016-12-07,142.90985107421875,143.06746371923668,140.06352883075925,140.619806257808,2955800
2016-12-08,144.0688018798828,144.60654671041502,142.9098727141887,143.33636487188133,2928400
