Date,Close,High,Low,Open,Volume
2016-07-01,34.80621337890625,35.04308138396679,34.35277702136053,34.37308183727117,5896200
2016-07-05,33.73015213012695,34.833285834610734,33.38500122886776,34.79944533425764,7937300
2016-07-06,32.931575775146484,33.66248745307914,32.06531237759837,33.54743539340371,11096200
2016-07-07,31.970550537109375,33.9061066091388,31.92317435888304,33.12782425019359,10444200
2016-07-08,32.30216979980469,32.769139274251515,31.726917436428106,32.22772482960279,9573700
2016-07-11,32.8165168762207,32.91126408541906,32.28863551092326,32.572879720186165,6178200
2016-07-12,33.33086013793945,33.378233742769595,32.86389064104184,33.14813227002269,7872400
2016-07-13,33.52711868286133,33.628632428763744,32.64055084464247,33.357926524689844,8156300
2016-07-14,34.1091423034668,34.14974677176,33.44590672911152,33.81136243375603,5975100
2016-07-15,33.79783248901367,34.41369198548177,33.716620956970644,34.26480460701422,5729900
2016-07-18,34.12944412231445,34.447526222301285,33.43237322064213,33.736917055805804,5078600
2016-07-19,34.413700103759766,34.54905441020727,34.01440631965738,34.210669934922834,4880900
2016-07-20,34.366310119628906,34.61671637090548,34.17681572983469,34.55580709109056,4509000
2016-07-21,33.88581466674805,34.50844332464228,33.83844105580337,34.44753402747511,4521300
2016-07-22,33.75721740722656,34.02792328953623,33.38499520550873,33.87903595784945,6151300
2016-07-25,34.034706115722656,34.0414726682945,33.33763244408153,33.74369530343591,7659200
2016-07-26,35.64541244506836,35.71985742819924,33.80460301356622,34.22419895833245,12769500
2016-07-27,35.334102630615234,36.322184576525544,34.948344575271236,35.665720517987864,9149300
2016-07-28,35.1039924621582,35.59126676223093,34.27833638685113,35.45591250313653,5808300
2016-07-29,35.38147735595703,35.42208441946108,34.62349690889418,34.968647912838904,5116400
2016-08-01,34.94157791137695,35.618346789713385,34.77915224464212,35.27996235054517,6897300
2016-08-02,35.42884826660156,35.76046613905216,35.0227879892486,35.286727427694856,6961900
2016-08-03,37.02602005004883,37.14783863933747,35.19197724039036,35.30702669601404,11362100
2016-08-04,36.09207534790039,36.985409808974026,35.929649726947154,36.68762993417104,8840400
2016-08-05,36.20712661743164,36.66056042185127,35.895813624994176,36.05147012121291,8010300
2016-08-08,36.674095153808594,36.96510590316873,36.484600742752775,36.54551002940182,6624400
2016-08-09,35.92131805419922,36.74253105979071,35.64757864528707,36.62619350787516,6853600
2016-08-10,36.215576171875,36.961513150696874,35.94868174459805,35.989743429783694,7119200
2016-08-11,37.19419479370117,37.52268308920535,36.236112198625854,36.27717127763475,7812100
2016-08-12,37.180519104003906,37.3173862143343,36.797284407589565,37.228423114734106,4847100
2016-08-15,37.31053924560547,37.440564028417576,36.85887105040727,37.214731236104704,4942600
2016-08-16,37.296852111816406,37.52952982574422,37.098391171289535,37.27632256989034,4319900
2016-08-17,37.755367279052734,37.837490678038996,37.20104869404583,37.24895270483476,5803400
2016-08-18,37.68008804321289,37.76905113496721,37.30369569128093,37.71430481777782,5096400
2016-08-19,37.51585388183594,37.769061213873464,37.19421037183337,37.406358607665126,3976600
2016-08-22,37.24895095825195,37.34475897533741,36.85887396836249,37.34475897533741,5185800
2016-08-23,37.78273010253906,37.87853809459343,37.132601085720395,37.31053245145451,4353800
2016-08-24,38.11806869506836,38.28231025579601,37.61849648111522,37.85801651158161,5688200
2016-08-25,37.6527214050293,38.20019774357277,37.33792283668844,38.008581677725836,5914400
2016-08-26,37.83064651489258,38.04963702876904,37.41319503201156,37.68009216821054,4064600
2016-08-29,38.07017135620117,38.282316960175145,37.8101191271715,37.8580231416542,3559300
2016-08-30,38.186492919921875,38.24808414279965,37.72113759386134,38.070155393692694,4046800
2016-08-31,37.87854766845703,38.32337358465079,37.68693163591703,38.07700862248641,5006200
2016-09-01,37.15314865112305,37.91277320414887,36.86572194512024,37.89224104692312,5281500
2016-09-02,37.522682189941406,37.59111572703094,37.064169137610776,37.48846281082454,4872900
2016-09-06,37.82379913330078,38.06331915994225,37.47478125382606,37.727991122644184,3554000
2016-09-07,38.38496780395508,38.4534013607235,37.66640501559525,37.75536811727963,4613600
2016-09-08,38.426025390625,38.7545111269782,37.99488671953593,38.32337245588913,4467100
2016-09-09,37.58427429199219,38.337056322639555,37.543215210160085,38.28915232012054,5773700
2016-09-12,38.24126052856445,38.46025107017016,37.12577566249132,37.44057423972788,5791400
2016-09-13,37.87854766845703,38.17966156024578,37.673244403510935,38.00173014953922,4689500
2016-09-14,37.344764709472656,38.289163013958486,37.29686069357446,37.960677214696695,5416800
2016-09-15,38.45338821411133,38.905056321854055,37.331061559148914,37.40634001220136,6651900
2016-09-16,38.82293701171875,39.1308931445549,38.34389442848163,38.34389442848163,7316500
2016-09-19,39.10352325439453,39.7468100538231,38.65185507699074,38.91190724294213,5976500
2016-09-20,37.946983337402344,39.18564783247304,37.93329610517411,39.17880552164523,6201100
2016-09-21,38.10438919067383,38.41234544270623,37.645875968631564,38.24125892608524,6032900
2016-09-22,38.04963302612305,38.624483717220336,38.00857394069847,38.384963683668374,4741800
2016-09-23,38.0975341796875,38.343899116074866,37.57743245553713,37.899075856995346,5392000
2016-09-26,37.15314865112305,38.22072684623127,37.09839971261849,38.097544345169084,4827200
2016-09-27,37.6527214050293,37.83065023609102,36.71516801211278,37.0368088925597,5952000
2016-09-28,37.71430206298828,38.07016223572991,37.00258171750501,37.810110069000956,6715600
2016-09-29,35.387542724609375,37.70747601336486,35.017995135982744,37.55007669463286,13909600
2016-09-30,36.27033233642578,36.4551060408423,35.27803026925814,35.49702074621718,8318600
2016-10-03,36.201900482177734,36.44142051173477,35.935003378506636,36.297708494000545,5172200
2016-10-04,36.71516799926758,37.194208163717335,36.38667958568331,36.38667958568331,5804000
2016-10-05,37.50215530395508,37.905919494826534,36.82465431573316,37.009428024495264,6393900
2016-10-06,37.570587158203125,37.769045465116406,37.071012404375004,37.502151008774256,4045600
