Date,Close,High,Low,Open,Volume
2016-07-01,145.02682495117188,145.62937228641962,143.31640196272696,143.77316525906986,1433100
2016-07-05,143.1025848388672,144.55062312406847,142.50976538830966,144.025824355896,1878200
2016-07-06,144.9102020263672,145.17260141950072,141.64483843397403,142.276524749244,1869400
2016-07-07,144.86154174804688,145.51266860509404,144.26872254551037,144.64773712883655,1331900
2016-07-08,148.3893280029297,149.0987626333738,146.12495312292745,146.23185545044717,1153700
2016-07-11,148.04913330078125,149.32223299776282,147.72842641979278,148.75858253554563,959100
2016-07-12,150.03176879882812,150.4107835443182,148.1561210785216,148.91415056950177,1188000
2016-07-13,150.4398956298828,150.79946943941718,149.74988701344253,150.64397245134487,844200
2016-07-14,153.28736877441406,153.61780359606868,151.31454699084406,152.18920646603394,2033500
2016-07-15,152.6168212890625,153.9093624278943,152.33499592344293,153.9093624278943,1628200
2016-07-18,152.62652587890625,152.88892519936084,151.6644049232456,152.23778339878658,1098900
2016-07-19,152.22808837890625,152.51964156618203,151.17850580212007,151.86851451770573,679200
2016-07-20,153.24855041503906,153.64700602991843,152.13093209250042,152.37389066318087,686900
2016-07-21,151.8004608154297,153.3456732450216,151.33398466912084,153.09300175514792,1103200
2016-07-22,152.4710235595703,152.93749969040604,151.62553279199142,152.40300289605685,901900
2016-07-25,152.55850219726562,153.12216771532914,151.88793434251744,152.57794303002933,1119400
2016-07-26,154.41470336914062,154.64794886713455,151.89765687295568,152.57793770584215,1508200
2016-07-27,154.42437744140625,155.0074836248892,153.04437529143658,154.9005813188842,1536800
2016-07-28,154.34674072265625,154.77433538620562,152.15038557066651,152.73349212034879,1654700
2016-07-29,154.36610412597656,155.4837220880869,153.91906880434007,154.46329345451122,1438600
2016-08-01,155.06582641601562,156.1542757208911,154.1037202729595,154.27864327023892,1794000
2016-08-02,152.03370666503906,155.28934152485368,151.49919502267863,155.03667003437846,1711300
2016-08-03,151.6060791015625,152.41270296857095,151.28537215475137,152.41270296857095,1039700
