Date,Close,High,Low,Open,Volume
2016-07-01,89.67074584960938,90.22873024601941,89.37803329565803,89.41462323725418,5681600
2016-07-05,89.33232116699219,89.64332527218485,88.88409951588133,89.43293480545738,5846400
2016-07-06,90.05494689941406,90.1189775646835,88.50906170110356,88.72859441362463,6223300
2016-07-07,90.67227172851562,90.73676752278271,89.90753086112419,89.95359526873533,5146000
2016-07-08,91.7871322631836,91.99904400461666,91.00396000362873,91.44622190279483,6045800
2016-07-11,92.11882781982422,92.45973115399086,91.58443007011256,91.95298048472455,5428000
2016-07-12,92.32152557373047,92.86513902695698,92.13725387778075,92.30310121594134,8508500
2016-07-13,92.02669525146484,92.87436340886966,91.99905519743817,92.56109306103161,5494700
2016-07-14,92.10961151123047,92.87435238627833,91.842412638159,92.52422633145359,7461500
2016-07-15,91.95299530029297,92.63480910799534,91.71343643777001,92.52424185694268,5764400
2016-07-18,92.27547454833984,92.79144099544766,92.01749132478594,92.04513138023592,5051300
2016-07-19,91.64892578125,92.12803639914524,91.54757424158696,91.96218906419796,5742700
2016-07-20,90.49720001220703,90.93024617334866,89.50211611377694,90.89339043309047,10664900
2016-07-21,90.30372619628906,91.33565896028492,89.94439146175267,90.451142149925,6726600
2016-07-22,90.02731323242188,90.68148691547854,89.80618578324432,90.6538468630207,5381700
2016-07-25,89.73246765136719,90.349785542302,89.60347606309766,90.20236959692868,4825500
2016-07-26,89.08751678466797,89.52056302089677,88.76503075887042,89.3915643928688,6274800
2016-07-27,88.75582122802734,89.30864336333238,88.32277499602537,89.09672457954944,6911400
2016-07-28,88.36885070800781,88.90324148124334,88.28592351747021,88.82032132022091,7713500
2016-07-29,88.40569305419922,88.80188353050625,88.31355720542159,88.31355720542159,8264000
2016-08-01,88.02793884277344,88.63604110201105,87.60410829130116,88.58997668982725,7131600
2016-08-02,87.53959655761719,88.22141018767057,87.12497474633761,87.85285980970444,7644100
2016-08-03,88.5346908569336,88.8479612001634,87.53039808465587,87.58567819189606,9068700
2016-08-04,87.67781066894531,88.43333583944316,87.26318882531562,88.01871399581347,10038300
2016-08-05,88.29512786865234,88.45175950569359,87.8528659781376,87.89893741468585,6528500
2016-08-08,88.22142791748047,88.71896997329843,88.06479625995867,88.55312262135911,7792000
2016-08-09,89.06908416748047,89.23493151035365,87.80680825237644,88.09243149806892,15548700
2016-08-10,90.16551208496094,91.46464363548792,88.31355141896115,89.09671662652867,27181300
2016-08-11,90.08258819580078,90.65384168887917,89.51134173223684,90.47877866061825,9233900
2016-08-12,89.22571563720703,90.12866384203934,89.0598753241818,90.12866384203934,9360300
2016-08-15,89.46527099609375,89.93517295328695,89.29942365999702,89.69561412792176,5299600
2016-08-16,89.2625732421875,89.60348362826231,88.7005354046259,89.24414888352815,5777800
2016-08-17,89.25334167480469,89.34547750348881,88.93085573014056,89.22569459963762,5697300
2016-08-18,89.0506591796875,89.48370540687937,88.95852332974587,89.25336226726793,5250700
2016-08-19,88.81110382080078,89.17965426450091,88.49784051284044,88.82031951500991,6362400
2016-08-22,88.33198547363281,88.88480757629158,88.12928239577124,88.88480757629158,5495300
2016-08-23,88.42412567138672,88.84795620526982,88.26749402333499,88.57154162557813,4996300
2016-08-24,88.28591918945312,88.65446962257644,88.00029594280211,88.46098222682754,5912500
2016-08-25,88.03714752197266,88.28591501058486,87.90815593091233,88.10164331750282,4518700
2016-08-26,87.72388458251953,88.5715456891758,87.30005402919139,88.13850647107962,6019600
2016-08-29,87.4106216430664,87.82523650387128,87.0328555005203,87.59489335242077,7903000
2016-08-30,87.4013900756836,87.79758050540651,87.31846290087404,87.31846290087404,6845000
2016-08-31,87.03284454345703,87.43825068841588,86.75643701422402,87.24476330909849,7375200
2016-09-01,86.84856414794922,87.41060187272923,86.52608521475909,87.28161029945318,6274200
2016-09-02,86.99600219726562,87.49354426192109,86.72880329053314,87.30005685280763,5382000
2016-09-06,86.42474365234375,87.09734164346595,86.01012180800143,87.09734164346595,8463500
2016-09-07,86.34180450439453,86.63664338351002,85.99168553216784,86.59057898242179,6281500
2016-09-08,86.69194793701172,86.80251518394441,85.62315933472374,86.13912576137895,7438100
2016-09-09,85.15324401855469,86.36945542674268,85.12560396851859,86.1575436901231,10248400
2016-09-12,86.27733612060547,86.48003923240883,84.72021406131198,84.72942975626184,9367300
2016-09-13,85.4112319946289,85.96406114449587,85.18088885868923,85.72450231485449,7795200
2016-09-14,85.00582885742188,85.58629100206412,84.83076583289666,85.30987644013106,6386500
2016-09-15,85.2269515991211,85.45729471155114,84.01995593943205,84.87683259885242,7559400
2016-09-16,85.28224182128906,85.4480891631085,84.5820037376201,85.01504293560693,10568600
2016-09-19,85.34672546386719,85.98247468854855,85.07952661624044,85.50336411903719,5421500
2016-09-20,85.6415786743164,85.96406470158777,85.39281117019428,85.4112355288454,6200100
2016-09-21,85.12559509277344,85.76134429537333,84.48984589017354,85.68763281661988,12049500
