band,confidence,entry_date,exit_date,exit_price,holding_days,mae_r,market_regime,market_regime_score,mfe_r,momentum_score,r_multiple,relative_strength_score,return_pct,sector,signal_date,stop_hit,support_resistance_score,ticker,tp1_hit,tp2_hit,trend_score,verdict,volatility_score,volume_score
75-89,81,2024-05-17,2024-06-04,64.82,12,-0.08851166957288714,Risk-on,90,0.3263963381397112,90,0.22478539500576025,61,2.5372249640118194,Consumer Staples,2024-05-16,False,25,WMT,True,True,100,BUY,90,100
75-89,79,2024-05-17,2024-06-03,814.98,11,-0.05318933159019501,Risk-on,90,0.3105530618237571,90,0.25813250221151995,57,3.549143749206643,Consumer Staples,2024-05-16,False,25,COST,True,True,100,BUY,90,85
75-89,77,2024-05-20,2024-07-02,199.30520629882812,30,-0.6100578644372354,Risk-on,90,0.19575190010146978,90,0.1758835743368259,65,1.9191351125908682,Financials,2024-05-17,False,25,JPM,True,False,100,BUY,90,70
75-89,80,2024-05-22,2024-07-02,38.74,28,-0.503645878140977,Risk-on,90,0.48714051109491163,100,0.3533541250311915,73,3.2734772322244345,Financials,2024-05-21,False,25,BAC,True,True,100,BUY,90,70
75-89,85,2024-05-24,2024-05-28,111.74,2,-0.053751484254687835,Risk-on,90,0.37372658521130414,90,0.2583597044369628,100,6.904907550952087,Technology,2024-05-23,False,25,NVDA,True,True,100,BUY,90,100
75-89,81,2024-05-29,2024-06-05,120.82,6,-0.16695635732596267,Risk-on,90,0.2529440100616425,60,0.20816112316636826,100,6.797501880716365,Technology,2024-05-28,False,25,NVDA,True,True,100,BUY,90,100
75-89,82,2024-06-03,2024-06-07,840.16,5,-0.05681381938575409,Risk-on,90,0.27942429393254,100,0.22286671483986986,55,3.1515066016648308,Health Care,2024-05-31,False,25,LLY,True,True,100,BUY,90,100
75-89,76,2024-06-03,2024-07-16,67.85214233398438,30,-0.8409097912617096,Risk-on,90,0.016727109764321072,40,-0.6198521623479052,100,-9.795328305768424,Utilities,2024-05-31,False,25,NEE,False,False,100,BUY,90,85
60-74,69,2024-06-04,2024-06-11,197.97,6,-0.14013161076931654,Risk-on,90,0.6728255006009718,80,0.2466045203951606,71,2.338110145586929,Technology,2024-06-03,False,25,AAPL,True,True,85,WATCH,90,45
75-89,79,2024-06-04,2024-06-06,839.33,3,-0.027295183919550554,Risk-on,90,0.3918742697889505,100,0.3647213315160947,68,3.8469390618073773,Consumer Staples,2024-06-03,False,25,COST,True,True,100,BUY,90,70
60-74,68,2024-06-05,2024-07-18,111.25086212158205,30,-0.9559451167426676,Risk-on,90,1.3985981753145127,20,1.1274964972156383,51,4.977418009541807,Energy,2024-06-04,False,100,XOM,True,False,65,WATCH,90,70
60-74,65,2024-06-05,2024-06-20,66.84,11,-0.1151797740685055,Risk-on,90,0.1825494005805013,60,0.16177643812749193,64,2.0314092061472593,Consumer Staples,2024-06-04,False,25,WMT,True,True,100,WATCH,90,20
75-89,80,2024-06-05,2024-07-16,99.61,28,-0.7583943340755007,Risk-on,90,0.40620813384094034,80,0.3351638060692523,63,2.2179802590517235,Utilities,2024-06-04,False,25,DUK,True,True,100,BUY,90,100
75-89,75,2024-06-05,2024-07-11,192.23,25,-0.31769095564548677,Risk-on,90,0.32290389847996626,100,0.26261280026194694,38,3.5522926265370542,Real Estate,2024-06-04,False,25,AMT,True,True,85,BUY,90,85
75-89,76,2024-06-06,2024-06-13,128.85,6,-0.17150968214632012,Risk-on,90,0.13770646178919627,60,0.1137706064334783,100,3.7948398891491655,Technology,2024-06-05,False,25,NVDA,True,True,100,BUY,90,70
60-74,70,2024-06-07,2024-06-17,860.43,7,-0.09486182234281598,Risk-on,90,0.23291875043606838,60,0.20779966422089965,72,2.470418386163527,Consumer Staples,2024-06-06,False,25,COST,True,True,100,WATCH,90,45
60-74,74,2024-06-07,2024-07-17,61.33,27,-0.4299908303344889,Risk-on,90,0.45134579668692953,100,0.29577087144683895,54,1.8143471881316067,Consumer Staples,2024-06-06,False,25,KO,True,True,100,WATCH,90,45
75-89,77,2024-06-10,2024-06-13,870.39,4,-0.03962776173315211,Risk-on,90,0.24212190734123712,90,0.20854667242473265,66,3.090147533596446,Health Care,2024-06-07,False,25,LLY,True,True,100,BUY,90,70
60-74,74,2024-06-10,2024-06-21,204.45,9,-0.2272504474302508,Risk-on,90,0.36485247153381395,100,0.32292939537046117,56,2.6168579362219875,Industrials,2024-06-07,False,25,HON,True,True,100,WATCH,90,45
75-89,79,2024-06-12,2024-06-12,211.18,1,-0.02200921166864738,Risk-on,90,0.4882393755237985,60,0.19624157608045395,79,2.4654598956700853,Technology,2024-06-11,False,25,AAPL,True,True,100,BUY,90,100
75-89,79,2024-06-13,2024-07-08,225.11,16,-0.24333841552521765,Risk-on,90,0.38317737848039374,60,0.34687428965152717,82,5.478643023737137,Technology,2024-06-12,False,25,AAPL,True,True,100,BUY,90,100
75-89,77,2024-06-13,2024-06-27,447.26,10,-0.09533737222581978,Risk-on,90,0.33089922806399313,100,0.2700573939129696,50,2.793941355179772,Technology,2024-06-12,False,25,MSFT,True,True,100,BUY,90,70
75-89,85,2024-06-13,2024-06-13,153.37,1,-0.12687771801015843,Risk-on,90,0.05436387216604253,100,-0.3189128448252704,83,-8.570432392106877,Technology,2024-06-12,False,25,AVGO,True,True,100,BUY,90,100
75-89,77,2024-06-13,2024-07-15,142.73,21,-0.10267774921907942,Risk-on,90,0.2140160124016355,60,0.1807304008642796,58,3.908993364799138,Technology,2024-06-12,False,25,ORCL,True,True,100,BUY,90,100
60-74,69,2024-06-14,2024-06-20,136.64,4,-0.03864972901996873,Risk-on,90,0.24334920534528706,60,0.1490092418175748,100,5.055441251106313,Technology,2024-06-13,False,25,NVDA,True,True,100,WATCH,90,20
75-89,81,2024-06-14,2024-06-17,177.97,2,-0.012331291291819275,Risk-on,90,0.34175737167974246,60,0.28106504544014194,100,7.567535738094229,Technology,2024-06-13,False,25,AVGO,True,True,100,BUY,90,100
75-89,76,2024-06-14,2024-06-26,193.8,8,-0.14099156256997053,Risk-on,90,0.8401131435321033,90,0.7406318422214838,48,5.59665902446892,Consumer Discretionary,2024-06-13,False,25,AMZN,True,True,100,BUY,90,70
60-74,69,2024-06-14,2024-06-28,202.97,10,-0.32226901293901317,Risk-on,90,0.6215980374545532,80,0.5993711938631667,49,8.977337902394039,Consumer Discretionary,2024-06-13,False,25,TSLA,True,True,60,WATCH,90,100
60-74,67,2024-06-14,2024-07-12,342.8,19,-0.42071540500391363,Risk-on,90,0.5980941191787071,100,0.46393307825008473,24,4.264831343723525,Consumer Discretionary,2024-06-13,False,25,HD,True,True,85,WATCH,90,45
60-74,70,2024-06-14,2024-06-28,900.62,10,-0.090236638384008,Risk-on,90,0.23390968922952807,60,0.2043754798111957,71,3.2433394715780883,Health Care,2024-06-13,False,25,LLY,True,True,100,WATCH,90,45
0-59,52,2024-06-14,2024-07-17,148.69,22,-0.17250606941196844,Risk-on,90,2.891082277148862,20,2.791770630530354,30,8.164365613876345,Health Care,2024-06-13,False,100,JNJ,True,True,25,SKIP,90,45
0-59,57,2024-06-14,2024-07-29,143.77491760253906,30,-0.27976481047720647,Risk-on,90,2.426723332560961,20,0.6757682932452295,41,2.0127139391479654,Energy,2024-06-13,False,100,CVX,True,False,40,SKIP,90,45
60-74,62,2024-06-14,2024-07-29,336.135498046875,30,-0.6098055733470653,Risk-on,90,5.100258976985598,20,2.5367943788769867,25,7.3751840445941745,Industrials,2024-06-13,False,100,CAT,True,False,50,WATCH,90,70
60-74,72,2024-06-14,2024-07-23,172.99,26,-0.20575279647695882,Risk-on,90,4.432271036685798,20,3.94631991592808,66,13.389020472841981,Industrials,2024-06-13,False,100,GE,True,True,65,WATCH,90,85
0-59,56,2024-06-14,2024-07-11,111.31,18,-0.21275468920821636,Risk-on,90,0.8103949173973397,100,0.6333525194739694,16,6.9128112726146815,Real Estate,2024-06-13,False,25,PLD,True,True,60,SKIP,90,20
60-74,64,2024-06-14,2024-06-28,259.34,10,-1.2934794628638986,Risk-on,90,1.4619066939318686,20,-1.0768060865084175,29,-2.7679224976619867,Financials,2024-06-13,True,100,V,False,False,50,WATCH,90,85
60-74,73,2024-06-14,2024-07-05,526.76,14,-0.16714545691947907,Risk-on,90,0.6037570021898155,100,0.4191873767093425,41,5.2418926547973,Communication Services,2024-06-13,False,25,META,True,True,100,WATCH,90,45
60-74,73,2024-06-14,2024-06-27,183.99,9,-0.022452161572554384,Risk-on,90,1.2730917494919363,80,1.1645650663506115,77,6.162613656759677,Communication Services,2024-06-13,False,25,GOOGL,True,True,100,WATCH,90,45
60-74,66,2024-06-17,2024-07-29,441.24,29,-0.5416210928697569,Risk-on,90,0.754388670097065,90,0.6948074543723288,30,3.5108122213486075,Materials,2024-06-14,False,25,LIN,True,True,85,WATCH,90,45
75-89,81,2024-06-18,2024-07-31,157.7139129638672,30,-0.6564977881854958,Risk-on,90,0.018123256927178855,60,-0.3785410797186832,100,-12.608454474973332,Technology,2024-06-17,False,25,AVGO,True,False,100,BUY,90,100
60-74,74,2024-06-18,2024-07-09,880.47,14,-0.28963925117833617,Risk-on,90,0.29277034656906764,60,0.2054216431734461,77,2.2813134982718823,Consumer Staples,2024-06-17,False,25,COST,True,True,100,WATCH,90,70
75-89,81,2024-06-21,2024-08-02,107.09347534179688,30,-0.6384627452900019,Risk-on,90,0.22177245048122216,90,-0.49833346572224396,100,-15.841689321354524,Technology,2024-06-20,False,25,NVDA,False,False,100,BUY,90,70
60-74,70,2024-06-21,2024-07-05,68.28,10,-0.3280224107028344,Risk-on,90,0.3490349157232774,70,0.211754605311518,65,1.648642163042687,Consumer Staples,2024-06-20,False,25,WMT,True,True,100,WATCH,90,45
75-89,80,2024-06-24,2024-07-18,209.15,18,-0.21302287106766005,Risk-on,90,0.24502702533879658,90,0.2238640045744995,52,2.3220313406977033,Industrials,2024-06-21,False,25,HON,True,True,100,BUY,90,100
75-89,82,2024-06-27,2024-07-08,200.76,7,-0.09949440249659995,Risk-on,90,0.23247152759469622,100,0.2005774337832717,53,2.694223958467789,Consumer Discretionary,2024-06-26,False,25,AMZN,True,True,100,BUY,90,100
60-74,69,2024-06-28,2024-07-05,458.53,5,-0.13453744560655131,Risk-on,90,0.26520711927333185,90,0.20296637788486172,55,2.5415135897887935,Technology,2024-06-27,False,25,MSFT,True,True,100,WATCH,90,20
75-89,76,2024-06-28,2024-07-09,459.98,7,-0.03666575392972161,Risk-on,90,1.336239459850819,55,1.2833428662767175,56,6.1795153298206404,Financials,2024-06-27,False,85,GS,True,True,75,BUY,90,85
60-74,71,2024-06-28,2024-07-09,189.41,7,-0.16227893791023118,Risk-on,90,0.3622851022412105,90,0.31719041471213105,79,3.2986052438877853,Communication Services,2024-06-27,False,25,GOOGL,True,True,100,WATCH,90,20
75-89,75,2024-07-01,2024-07-02,214.07,2,-0.006324641535635011,Risk-on,90,0.7056143534632506,100,0.2930592587840998,68,6.232231086091337,Consumer Discretionary,2024-06-28,False,25,TSLA,True,True,75,BUY,90,85
75-89,76,2024-07-01,2024-07-10,927.55,7,-0.27660065770689046,Risk-on,90,0.2744528612027119,60,0.2167299436701339,73,2.8968646062721937,Health Care,2024-06-28,False,25,LLY,True,True,100,BUY,90,85
60-74,62,2024-07-01,2024-07-24,252.17,17,-1.3639220786620774,Risk-on,90,1.2256881243391116,20,-1.0657111667507402,29,-3.1950008331668536,Financials,2024-06-28,True,100,V,False,False,40,WATCH,90,85
60-74,60,2024-07-02,2024-07-15,505.69,9,-0.33582619898590665,Risk-on,90,1.2189490359298683,70,1.1244467590146423,57,6.775813632165874,Health Care,2024-07-01,False,25,UNH,True,True,60,WATCH,90,45
75-89,77,2024-07-03,2024-07-03,244.5,1,-0.0054592106779211775,Risk-on,90,0.174692783150914,60,0.11937996895599703,100,3.9814443316887895,Consumer Discretionary,2024-07-02,False,25,TSLA,True,True,85,BUY,90,100
60-74,73,2024-07-03,2024-07-16,204.34,9,-0.2779883111367448,Risk-on,90,0.22764607278284962,100,0.1739610977364747,48,1.9207183765899976,Financials,2024-07-02,False,25,JPM,True,True,100,WATCH,90,45
60-74,74,2024-07-03,2024-07-15,40.23,8,-0.20514618040080268,Risk-on,90,0.3251386478707452,100,0.27064026967294547,57,2.412511610562267,Financials,2024-07-02,False,25,BAC,True,True,100,WATCH,90,45
75-89,77,2024-07-05,2024-07-09,262.44,3,-0.07929670153699403,Risk-on,90,0.166287582853534,60,0.12722362421973968,100,4.79833845427677,Consumer Discretionary,2024-07-03,False,25,TSLA,True,True,85,BUY,90,100
60-74,68,2024-07-08,2024-08-02,405.67,20,-1.140769451879879,Risk-on,90,0.016747994084530548,60,-1.0160552239291214,55,-11.91488576346667,Technology,2024-07-05,True,25,MSFT,False,False,100,WATCH,90,45
75-89,76,2024-07-08,2024-08-15,70.43,29,-0.5795494974620004,Risk-on,90,0.7996728842957926,70,0.29670508204639784,65,2.390107389631005,Consumer Staples,2024-07-05,False,25,WMT,True,True,100,BUY,90,85
75-89,79,2024-07-08,2024-07-17,470.75,8,-1.2152507970663706,Risk-on,90,0.0027484208706978785,90,-1.0147942822989533,41,-12.850147453249045,Communication Services,2024-07-05,True,25,META,True,False,100,BUY,90,100
60-74,68,2024-07-09,2024-07-15,233.04,5,-0.05426351751320262,Risk-on,90,0.21920911005919178,60,0.15634344022339658,96,2.872969425020849,Technology,2024-07-08,False,25,AAPL,True,True,100,WATCH,90,20
60-74,69,2024-07-09,2024-08-02,176.04,19,-1.6602812900546193,Risk-on,90,0.04562350368457879,100,-1.0160078684572504,46,-11.947503839308252,Consumer Discretionary,2024-07-08,True,25,AMZN,False,False,100,WATCH,90,20
75-89,77,2024-07-10,2024-08-20,221.1000061035156,30,-0.7474173488260591,Risk-on,90,0.07451522720614329,60,-0.390791196364524,100,-16.093709249936072,Consumer Discretionary,2024-07-09,False,25,TSLA,True,False,85,BUY,90,100
75-89,84,2024-07-10,2024-07-16,473.39,5,-0.06428573768626525,Risk-on,90,0.7512007138638724,100,0.42921186742501743,76,4.090405181613148,Financials,2024-07-09,False,25,GS,True,True,100,BUY,90,100
60-74,71,2024-07-10,2024-07-25,811.93,12,-1.0959747765347416,Risk-on,90,0.0434473476732842,90,-1.0254547193085142,75,-7.752527685889909,Consumer Staples,2024-07-09,True,25,COST,False,False,100,WATCH,90,20
60-74,72,2024-07-10,2024-07-25,167.45,12,-1.0756530451845472,Risk-on,90,0.12219577464450446,100,-1.0174598064840674,72,-11.023515412929603,Communication Services,2024-07-09,True,25,GOOGL,True,False,100,WATCH,90,20
60-74,70,2024-07-11,2024-07-25,817.94,11,-1.2184903286917588,Risk-on,90,0.29985515245775607,60,-1.0167683623473924,78,-11.44470539792433,Health Care,2024-07-10,True,25,LLY,True,False,100,WATCH,90,45
75-89,78,2024-07-12,2024-07-18,199.3,5,-0.09272803360717674,Risk-on,90,0.21974826730926975,90,0.17303291781342903,71,1.993508692046131,Real Estate,2024-07-11,False,25,AMT,True,True,100,BUY,90,70
60-74,69,2024-07-12,2024-07-17,116.48,4,-0.1752261406115883,Risk-on,90,0.42731664811049463,60,0.1301025451728076,40,1.7707401952572703,Real Estate,2024-07-11,False,25,PLD,True,True,85,WATCH,90,85
75-89,77,2024-07-15,2024-07-17,356.0,3,-0.11822356472505176,Risk-on,90,0.4373970671353013,100,0.39205564870724136,43,3.958932918693766,Consumer Discretionary,2024-07-12,False,25,HD,True,True,100,BUY,90,70
